ID;RU;EN;JP;CN;KR;DE;FR;IT;ES;PL;TR;SE;КОММЕНТАРИИ
mail;Я очень хочу делать более крупные игры. Твой отзыв поможет мне в этом. Моя личная почта:;Greetings, traveler. I am a beginner developer from snowy Siberia. I don’t know your language, so I am using a translator. I really want to make my next games bigger. Your feedback will help me with that. My personal email:;旅人よ、こんにちは。私は雪に覆われたシベリア出身の初心者開発者です。あなたの言語を知りませんので、翻訳を使っています。次のゲームをより大きく作りたいと思っています。あなたのフィードバックが私の助けになります。私の個人メール：;你好，旅行者。我是来自冰雪西伯利亚的初学开发者。我不懂你的语言，所以使用了翻译。我非常希望让我的下一些游戏更大。你的反馈将对我有帮助。我的个人邮箱：;여행자님, 안녕하세요. 저는 눈 덮인 시베리아 출신의 초보 개발자입니다. 당신의 언어를 몰라 번역기를 사용하고 있습니다. 다음 게임을 더 크게 만들고 싶습니다. 당신의 피드백이 큰 도움이 됩니다. 제 개인 이메일:;Grüße, Reisender. Ich bin ein Anfänger-Entwickler aus dem verschneiten Sibirien. Ich kenne deine Sprache nicht und benutze einen Übersetzer. Ich möchte meine nächsten Spiele größer machen. Dein Feedback wird mir dabei helfen. Meine persönliche E-Mail:;Salutations, voyageur. Je suis un développeur débutant de la Sibérie enneigée. Je ne connais pas ta langue, donc j’utilise un traducteur. Je souhaite vraiment rendre mes prochains jeux plus ambitieux. Tes retours m’aideront. Mon e-mail personnel :;Salve, viaggiatore. Sono un sviluppatore alle prime armi dalla Siberia innevata. Non conosco la tua lingua, quindi sto usando un traduttore. Voglio davvero rendere i miei prossimi giochi più grandi. Il tuo feedback mi aiuterà. La mia email personale:;Saludos, viajero. Soy un desarrollador principiante de la Siberia nevada. No conozco tu idioma, así que estoy usando un traductor. Realmente quiero hacer que mis próximos juegos sean más grandes. Tus comentarios me ayudarán. Mi correo personal:;Witaj, podróżniku. Jestem początkującym twórcą gier z zaśnieżonej Syberii. Nie znam twojego języka, więc używam tłumacza. Bardzo chcę, aby moje kolejne gry były większe. Twoja opinia pomoże mi w tym. Mój osobisty e-mail:;Selam, gezgin. Ben karlı Sibirya’dan gelen acemi bir geliştiriciyim. Dilini bilmiyorum, bu yüzden bir çevirmen kullanıyorum. Bir sonraki oyunlarımı daha büyük yapmak istiyorum. Geri bildirimin bana yardımcı olacak. Kişisel e-posta adresim:;Hälsningar, resenär. Jag är en nybörjarutvecklare från snötäckta Sibirien. Jag kan inte ditt språk, så jag använder en översättare. Jag vill verkligen göra mina nästa spel större. Din feedback kommer att hjälpa mig. Min personliga e-post:;Приветствую, путешественник. Я начинающий разработчик из снежной Сибири. Я не знаю твоего языка, поэтому пользуюсь переводчиком. Я очень хочу сделать свои следующие игры крупнее. Твой отзыв поможет мне в этом. Мой личный электронный адрес：
Локация недоступна;Локация недоступна;Location unavailable;ロケーションは利用できません;地点不可用;위치를 사용할 수 없습니다;Standort nicht verfügbar;Lieu indisponible;Posizione non disponibile;Ubicación no disponible;Lokalizacja niedostępna;Konum kullanılamıyor;Platsen är inte tillgänglig;
Купить премиум;Купить премиум и получить доступ сразу;Buy premium to get instant access;プレミアムを購入してすぐにアクセス;购买高级版即可立即访问;프리미엄을 구매하면 즉시 접근 가능;Premium kaufen und sofortigen Zugriff erhalten;Achetez Premium pour un accès immédiat;Acquista il premium per avere accesso immediato;Compra premium para obtener acceso inmediato;Kup premium i uzyskaj natychmiastowy dostęp;Premium satın al, anında erişim elde et;Köp premium för omedelbar åtkomst;
Уровень недоступен;Уровень недоступен;Level unavailable;レベルは利用できません;关卡不可用;레벨을 사용할 수 없습니다;Level nicht verfügbar;Niveau indisponible;Livello non disponibile;Nivel no disponible;Poziom niedostępny;Seviye kullanılamıyor;Nivån är inte tillgänglig;
Уровень недоступен2;Чтобы разблокировать его - пройти предыдущий уровень;To unlock it, complete the previous level;アンロックするには前のレベルをクリア;要解锁，请完成上一个关卡;잠금 해제하려면 이전 레벨을 완료하세요;Um es freizuschalten, beende das vorherige Level;Pour le débloquer, terminez le niveau précédent;Per sbloccarlo, completa il livello precedente;Para desbloquearlo, completa el nivel anterior;Aby odblokować, ukończ poprzedni poziom;Açmak için önceki seviyeyi tamamla;För att låsa upp det, slutför föregående nivå;
ГЛАВНОЕ МЕНЮ;---------------;;;;;;;;;;;;
рекорд;рекорд;Record;記録;记录;기록;Rekord;Record;Record;Récord;Rekord;Rekor;Rekord;
Магазин;Магазин;Shop;ショップ;商店;상점;Laden;Boutique;Negozio;Tienda;Sklep;Mağaza;Butik;
Миниган;Миниган;Minigun;ミニガン;迷你机枪;미니건;Minigun;Minigun;Minigun;Ametralladora;Minigun;Minigun;Minigun;
Аптечки;Аптечки;Medkits;回復キット;医疗包;구급상자;Medipacks;Trousse de soins;Kit medici;Botiquines;Apteczki;İlk yardım setleri;Förbandslådor;
Артобстрел;Артобстрел;Artillery strike;砲撃;炮击;포격;Artillerieschlag;Frappe d’artillerie;Attacco d’artiglieria;Bombardeo;Ostrzał artyleryjski;Topçu saldırısı;Artillerianfall;
Заморозка;Заморозка;Freeze;フリーズ;冰冻;얼리기;Einfrieren;Gel;Congelamento;Congelar;Zamrożenie;Dondurma;Frys;
Наборы;Наборы;Packs;パック;套装;세트;Pakete;Packs;Pacchetti;Paquetes;Zestawy;Paketler;Paket;
Щит;Щит;Shield;シールド;护盾;방패;Schild;Bouclier;Scudo;Escudo;Tarcza;Kalkan;Sköld;
Локализация;Локализация;Localization;ローカライズ;本地化;현지화;Lokalisierung;Localisation;Localizzazione;Localización;Lokalizacja;Yerelleştirme;Lokalisering;
НАСТРОЙКИ;НАСТРОЙКИ;SETTINGS;設定;设置;설정;EINSTELLUNGEN;PARAMÈTRES;IMPOSTAZIONI;AJUSTES;USTAWIENIA;AYARLAR;INSTÄLLNINGAR;
СПОСОБ УПРАВЛЕНИЯ;СПОСОБ УПРАВЛЕНИЯ;CONTROL METHOD;操作方法;控制方式;조작 방법;Steuerungsmethode;Méthode de contrôle;Metodo di controllo;Método de control;Metoda sterowania;Kontrol yöntemi;Styrmetod;
Максимальная чувствительность гироскопа;Максимальная чувствительность гироскопа;Maximum gyroscope sensitivity;ジャイロ最大感度;陀螺仪最大灵敏度;자이로 최대 감도;Maximale Gyro-Empfindlichkeit;Sensibilité gyroscope max;Sensibilità massima giroscopio;Sensibilidad máxima giroscopio;Maks. czułość żyroskopu;Maksimum jiroskop hassasiyeti;Max gyrokänslighet;
Базовая чувствительность гироскопа;Базовая чувствительность гироскопа;Base gyroscope sensitivity;ジャイロ基本感度;陀螺仪基础灵敏度;자이로 기본 감도;Basis-Gyro-Empfindlichkeit;Sensibilité de base du gyroscope;Sensibilità base giroscopio;Sensibilidad base giroscopio;Podstawowa czułość żyroskopu;Temel jiroskop hassasiyeti;Grundläggande gyrokänslighet;
Гироскоп и джойстик;Гироскоп и джойстик;Gyroscope & Joystick;ジャイロとジョイスティック;陀螺仪与摇杆;자이로 및 조이스틱;Gyro & Joystick;Gyroscope et joystick;Giroscopio e joystick;Giroscopio y joystick;Żyroskop i joystick;Jiroskop ve joystick;Gyro och joystick;
Гироскоп;Гироскоп;Gyroscope;ジャイロ;陀螺仪;자이로;Gyroskop;Gyroscope;Giroscopio;Giroscopio;Żyroskop;Jiroskop;Gyroskop;
Джойстик;Джойстик;Joystick;ジョイスティック;摇杆;조이스틱;Joystick;Joystick;Joystick;Joystick;Joystick;Joystick;Joystick;
ИНВЕРСИЯ ГИРОСКОПА;ИНВЕРСИЯ ГИРОСКОПА;GYROSCOPE INVERSION;ジャイロ反転;陀螺仪反转;자이로 반전;GYRO-UMKEHR;INVERSION DU GYROSCOPE;INVERSIONE GIROSCOPIO;INVERSIÓN DEL GIROSCOPIO;ODWRÓCENIE ŻYROSKOPU;JİROSKOP TERSİ;GYROINVERSION;
ВЫКЛ;ВЫКЛ;OFF;オフ;关;끔;AUS;OFF;OFF;OFF;WYŁ;KAPALI;AV;
ВКЛ;ВКЛ;ON;オン;开;켬;EIN;ON;ON;ON;WŁ;AÇIK;PÅ;
Сбросить прогресс;Сбросить прогресс;Reset progress;進行状況をリセット;重置进度;진행 초기화;Fortschritt zurücksetzen;Réinitialiser la progression;Reimposta i progressi;Reiniciar progreso;Zresetuj postęp;İlerlemeyi sıfırla;Återställ framsteg;
Настройки по умолчанию;Вернуть настройкипо умолчанию;Restore default settings;デフォルト設定に戻す;恢复默认设置;기본 설정으로 복원;Standardeinstellungen wiederherstellen;Restaurer paramètres par défaut;Ripristina impostazioni predefinite;Restaurar configuración predeterminada;Przywróć ustawienia domyślne;Varsayılan ayarları geri yükle;Återställ standardinställningar;
Отмена;Отмена;Cancel;キャンセル;取消;취소;Abbrechen;Annuler;Annulla;Cancelar;Anuluj;İptal;Avbryt;
Сбросить прогресс описание;Вы уверены, что хотите сбросить прогресс?...;Are you sure you want to reset progress?...;本当に進行状況をリセットしますか？...;你确定要重置进度吗？...;진행을 초기화하시겠습니까?...;Bist du sicher, dass du den Fortschritt zurücksetzen willst? ...;Êtes-vous sûr de vouloir réinitialiser la progression ? ...;Sei sicuro di voler reimpostare i progressi?...;¿Seguro que quieres reiniciar el progreso?...;Na pewno chcesz zresetować postęp?...;İlerlemeyi sıfırlamak istediğine emin misin?...;Är du säker på att du vill återställa framstegen?...;
Совет в настройках;Совет:<br>В нашей игре мы рекомендуем использовать управление гироскопом.<br>С его помощью можно прицеливаться, наклоняя телефон в стороны.;Tip:<br>We recommend using gyroscope controls in our game.<br>It lets you aim by tilting your phone.;ヒント：<br>このゲームではジャイロ操作をおすすめします。<br>スマートフォンを傾けて照準を合わせることができます。;提示：<br>我们建议在游戏中使用陀螺仪控制。<br>你可以通过倾斜手机来进行瞄准。;팁:<br>이 게임에서는 자이로 조작을 사용하는 것을 권장합니다.<br>휴대폰을 기울여 조준할 수 있습니다.;Tipp:<br>Wir empfehlen, in unserem Spiel die Gyro-Steuerung zu verwenden.<br>Damit kannst du zielen, indem du dein Handy neigst.;Astuce :<br>Nous vous recommandons d’utiliser le contrôle gyroscopique dans notre jeu.<br>Vous pouvez viser en inclinant votre téléphone.;Suggerimento:<br>Nel nostro gioco consigliamo di usare il controllo giroscopico.<br>Puoi mirare inclinando il telefono.;Consejo:<br>Recomendamos usar el control giroscópico en nuestro juego.<br>Puedes apuntar inclinando el teléfono.;Wskazówka:<br>W naszej grze zalecamy korzystanie ze sterowania żyroskopem.<br>Możesz celować, przechylając telefon.;İpucu:<br>Oyunumuzda jiroskop kontrolünü kullanmanızı öneriyoruz.<br>Telefonu eğerek nişan alabilirsiniz.;Tips:<br>Vi rekommenderar att du använder gyrostyrning i vårt spel.<br>Du kan sikta genom att luta telefonen.;
МЕНЮ;---------------;;;;;;;;;;;;
ПАУЗА;ПАУЗА;PAUSE;一時停止;暂停;일시정지;PAUSE;PAUSE;PAUSA;PAUSA;PAUZA;DURAKLAT;PAUS;
Продолжить;Продолжить;Continue;続ける;继续;계속;Fortsetzen;Continuer;Continua;Continuar;Kontynuuj;Devam et;Fortsätt;
Рестарт;Рестарт;Restart;再スタート;重新开始;재시작;Neustart;Redémarrer;Riavvia;Reiniciar;Restart;Yeniden başlat;Starta om;
В меню;В меню;To menu;メニューへ;返回菜单;메뉴로;Zum Menü;Aller au menu;Vai al menu;Al menú;Do menu;Menüye dön;Till menyn;
Game Over;Конец игры;Game over;ゲームオーバー;游戏结束;게임 오버;Spiel vorbei;Fin du jeu;Fine del gioco;Fin del juego;Koniec gry;Oyun bitti;Spelet slut;
Возрождение;Возрождение;Respawn;リスポーン;重生;부활;Wiederbelebung;Réapparition;Rinascita;Reaparición;Odrodzenie;Yeniden doğma;Återuppståndelse;
